Method,Name,Error,Occurrences
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/agents/{agentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/1fdb3556-ac9b-4e27-ba3d-fc3d5899bdf4/agents/d2f64936-0be0-444a-9cdf-a4f5bac762f7 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f289e8c1e80>: Failed to establish a new connection: [Errno 111] Connection refused'))",12
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/addresses/{addressID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/bbf3cc74-3c75-431e-b60a-806024aef107/addresses/ba6a7b93-0161-4df9-911a-9cc10a234f58 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f289c0d86a0>: Failed to establish a new connection: [Errno 111] Connection refused'))",1
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/agents/{agentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/b3d0fb1d-9002-4b15-a654-fc26903da93e/agents/ae3aa13c-83ea-497e-a269-f2c9591edf16 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f289cce9250>: Failed to establish a new connection: [Errno 111] Connection refused'))",13
PUT,/prime/v1/mto-shipments/{mtoShipmentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/ba327d20-6dbf-431a-8d7b-0a803db144d8 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f28887b3c40>: Failed to establish a new connection: [Errno 110] Connection timed out'))",3
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/addresses/{addressID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/e10fc54f-e69f-4330-801e-db3bd1a470d3/addresses/e1e7ba7f-227e-4023-9705-0735e63a388e (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f28a5500d60>: Failed to establish a new connection: [Errno 111] Connection refused'))",1
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/agents/{agentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/141305c9-1189-4a7e-8d1e-3e1053c933de/agents/1bd988be-c33b-466e-a80a-bc3b7947f564 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f289d0696d0>: Failed to establish a new connection: [Errno 111] Connection refused'))",36
GET,/support/v1move-task-orders/{moveTaskOrderID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/move-task-orders/743b1a2c-51a6-4ed5-b3a5-f190d2b51ddf (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f28a5173460>: Failed to establish a new connection: [Errno 111] Connection refused'))",45
PATCH,/support/v1/mto-service-items/{mtoServiceItemID}/status,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/mto-service-items/5eab91f4-98c3-42b8-bfc4-f685cfed8cc0/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f2889cbebb0>: Failed to establish a new connection: [Errno 110] Connection timed out'))",1
GET,/support/v1/move-task-orders/{moveTaskOrderID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/move-task-orders/17e7278f-731a-418d-9003-1a74859f383a (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f2888e961f0>: Failed to establish a new connection: [Errno 111] Connection refused'))",1
PATCH,/support/v1/mto-shipments/{mtoShipmentID}/status,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/mto-shipments/32074005-9364-4087-8a2f-7c8dfaf96a72/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f288bee54f0>: Failed to establish a new connection: [Errno 111] Connection refused'))",8
PUT,/prime/v1/mto-shipments/{mtoShipmentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/b38d751a-0216-4541-b582-a666240b9bce (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f289e758970>: Failed to establish a new connection: [Errno 111] Connection refused'))",12
PATCH,/support/v1/mto-service-items/{mtoServiceItemID}/status,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/mto-service-items/784014ce-6125-4d49-b258-628eea46a4db/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f28883e5b80>: Failed to establish a new connection: [Errno 110] Connection timed out'))",3
GET,/support/v1/move-task-orders/{moveTaskOrderID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/move-task-orders/be34f0a3-9374-45ea-bcd1-07894825f4c1 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f289cc7eb80>: Failed to establish a new connection: [Errno 111] Connection refused'))",1
GET,/support/v1/move-task-orders/{moveTaskOrderID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/move-task-orders/e529fbcb-a3ae-4383-9305-76666ef52b0c (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f2888f187f0>: Failed to establish a new connection: [Errno 111] Connection refused'))",1
PATCH,/support/v1/mto-service-items/{mtoServiceItemID}/status,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/mto-service-items/e6f0b9ee-e020-4b43-b701-eda65c46b2fc/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f28763be0d0>: Failed to establish a new connection: [Errno 111] Connection refused'))",33
GET,/support/v1/move-task-orders/{moveTaskOrderID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/move-task-orders/17a0a332-f922-46cd-9f7f-03509cdf075b (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f289fd930a0>: Failed to establish a new connection: [Errno 111] Connection refused'))",1
GET,/support/v1move-task-orders/{moveTaskOrderID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/move-task-orders/38be584d-3f5b-4f8e-a25a-6a3538d0a402 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f288bdf76d0>: Failed to establish a new connection: [Errno 111] Connection refused'))",45
