Method,Name,Error,Occurrences
PUT,/prime/v1/mto-shipments/{mtoShipmentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/277b70a7-4454-4c17-876a-5c949090875d (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b06202ca0>: Failed to establish a new connection: [Errno 111] Connection refused'))",3
PATCH,/support/v1/mto-service-items/{mtoServiceItemID}/status,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/mto-service-items/92f98dec-3e1c-42bc-9b55-4d36c66af2e9/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b05ef81c0>: Failed to establish a new connection: [Errno 111] Connection refused'))",22
PATCH,/support/v1/mto-shipments/{mtoShipmentID}/status,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/mto-shipments/b66ea789-bc5e-478f-a92f-a4c22a884fc7/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3af0c104f0>: Failed to establish a new connection: [Errno 111] Connection refused'))",12
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/agents/{agentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/880089d8-2501-4e8c-8ebc-3fe5d17065d4/agents/7ee8b524-cfbf-4d51-ae85-952131fd7b9b (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3af03f2550>: Failed to establish a new connection: [Errno 111] Connection refused'))",6
POST,/prime/v1/payment-requests/{paymentRequestID}/uploads,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/payment-requests/b13af813-f0b0-4956-a0b7-6701e625cffe/uploads (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3af17e02b0>: Failed to establish a new connection: [Errno 111] Connection refused'))",21
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/agents/{agentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/d15bf2a4-ce4d-4ddf-ae2a-ac6540eea834/agents/9cabc79f-b06d-476b-9055-7eefaca50610 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b060d7ee0>: Failed to establish a new connection: [Errno 111] Connection refused'))",4
PATCH,/support/v1/mto-shipments/{mtoShipmentID}/status,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/mto-shipments/c82b808e-6326-4568-a5aa-d9f00e1b45fa/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3af13ca670>: Failed to establish a new connection: [Errno 111] Connection refused'))",13
PATCH,/prime/v1/move-task-orders/{moveTaskOrderID}/post-counseling-info,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/move-task-orders/92af7069-dfed-4b34-9533-2076fe3bca3f/post-counseling-info (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b06ce7460>: Failed to establish a new connection: [Errno 110] Connection timed out'))",2
PATCH,/prime/v1/move-task-orders/{moveTaskOrderID}/post-counseling-info,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/move-task-orders/637627cd-2d13-4284-a3eb-19e07f901b2a/post-counseling-info (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3af17e0a90>: Failed to establish a new connection: [Errno 111] Connection refused'))",19
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/addresses/{addressID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/941970de-ce98-45eb-b78e-7274a7a1a2c4/addresses/b718a959-8023-4d4b-9f0e-c0afb50bf095 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3af0983ac0>: Failed to establish a new connection: [Errno 111] Connection refused'))",3
POST,/prime/v1/mto-service-items,409 Client Error: Conflict for url: https://api.exp.move.mil/prime/v1/mto-service-items,2
POST,/prime/v1/payment-requests/{paymentRequestID}/uploads,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/payment-requests/cd387841-9baf-4c95-bdf8-694cdf9c0713/uploads (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b06228520>: Failed to establish a new connection: [Errno 111] Connection refused'))",21
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/addresses/{addressID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/74e33d1f-d813-45c4-9503-6893ea688a1f/addresses/3b86bb88-b0c7-43c5-a3e6-2b37b277fce9 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b040884f0>: Failed to establish a new connection: [Errno 110] Connection timed out'))",1
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/agents/{agentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/6f075018-48ec-4955-9c85-5f94ec72f756/agents/9591178d-dcda-4e34-b54e-0443c18231bd (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3af076ca00>: Failed to establish a new connection: [Errno 111] Connection refused'))",11
PATCH,/support/v1/mto-service-items/{mtoServiceItemID}/status,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/mto-service-items/f2d8e80d-7510-4980-a199-8dfb7ba6dc49/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b05efb730>: Failed to establish a new connection: [Errno 111] Connection refused'))",17
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/agents/{agentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/71536fc3-69d1-438f-9826-9c2a85571e8d/agents/ef53f170-6c64-4f8d-977d-ee18fdb234a1 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b0c145490>: Failed to establish a new connection: [Errno 111] Connection refused'))",17
PATCH,/support/v1/mto-service-items/{mtoServiceItemID}/status,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/mto-service-items/3938caf1-b358-4488-8f4e-7bf5be0c10a5/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3af1756e20>: Failed to establish a new connection: [Errno 110] Connection timed out'))",4
GET,/support/v1move-task-orders/{moveTaskOrderID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/move-task-orders/9c338a0f-ae81-4ddf-8a62-2b71f97b4e52 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b04088df0>: Failed to establish a new connection: [Errno 110] Connection timed out'))",5
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/addresses/{addressID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/71a6b66e-a82e-456b-8eab-0ae5eb19fb37/addresses/f5d6c7e2-e6e9-4843-af12-baa7b00d1113 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b07c52b20>: Failed to establish a new connection: [Errno 111] Connection refused'))",1
PUT,/prime/v1/mto-shipments/{mtoShipmentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/d0efc51a-6311-4be6-af06-5b53685bd038 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3af0ef6f10>: Failed to establish a new connection: [Errno 111] Connection refused'))",4
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/addresses/{addressID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/d30f7c78-9a12-4f08-aa40-5fb6b0d6f426/addresses/5530eb08-6fb1-4f0e-9f61-3304818f97ca (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b06d955b0>: Failed to establish a new connection: [Errno 111] Connection refused'))",5
PATCH,/support/v1/mto-service-items/{mtoServiceItemID}/status,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/mto-service-items/d4f46e39-6eb9-481c-8088-7ab8d64fb4ff/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b05ed2b50>: Failed to establish a new connection: [Errno 111] Connection refused'))",13
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/addresses/{addressID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/5a2cefe3-6f1d-494a-acb1-9a82e63ebd4a/addresses/8b5c266a-17f3-4151-b537-e5bf53fe76e9 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b076bd910>: Failed to establish a new connection: [Errno 111] Connection refused'))",3
