Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/prime/v1/move-task-orders,7576,7557,43000.0,49691.768085321855,61.83909999890602,734672.5826999974,5428.756863780359,1.1012432059808945,1.098481376398841,43000,62000,73000,86000,100000,112000,143000,204000,721000,735000,735000
PATCH,/prime/v1/move-task-orders/{moveTaskOrderID}/post-counseling-info,5537,5289,30000.0,38787.8365839262,61.85410000034608,735578.8708,175.2344229727289,0.8048552839910524,0.7688061399726704,30000,46000,54000,61000,81000,96000,127000,202000,714000,736000,736000
POST,/prime/v1/mto-service-items,5412,5247,32000.0,42121.31185861067,62.7223999981652,731600.9406000013,23.030118255728013,0.7866853525301745,0.7627010430018154,32000,50000,58000,64000,83000,101000,148000,256000,726000,732000,732000
PATCH,/prime/v1/mto-service-items/{mtoServiceItemID},619,619,27000.0,34116.85369612289,65.58550000045216,702104.8131999996,31.497576736672052,0.08997750059426791,0.08997750059426791,27000,42000,50000,56000,71000,89000,102000,122000,702000,702000,702000
POST,/prime/v1/mto-shipments,5499,4926,31000.0,40142.239361974964,61.574600000312785,728041.5880999971,186.64466266593925,0.7993316248269455,0.7160406590102807,31000,48000,56000,63000,85000,99000,127000,197000,717000,728000,728000
PUT,/prime/v1/mto-shipments/{mtoShipmentID},5485,5366,33000.0,39679.273147110194,62.626800001453375,734809.4753000041,59.42424794895169,0.7972965925033272,0.7799988177525713,33000,49000,57000,63000,80000,96000,125000,178000,715000,735000,735000
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/addresses/{addressID},5423,4746,19000.0,27597.310491241016,62.070500000118045,709236.9672000023,84.65000921998893,0.7882843064987317,0.6898759577066164,19000,32000,41000,46000,60000,72000,92000,107000,693000,709000,709000
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/agents/{agentID},5415,4725,19000.0,27936.609289953925,63.00040000132867,714957.853699998,91.35863342566944,0.7871214308852355,0.6868234092211889,19000,33000,41000,47000,61000,72000,95000,110000,696000,715000,715000
POST,/prime/v1/payment-requests,5114,5077,20000.0,28799.013361732534,62.09149999995134,733570.3620000022,53.23504106374658,0.7433682359274413,0.7379899362150213,20000,33000,42000,47000,59000,73000,93000,119000,691000,734000,734000
POST,/prime/v1/payment-requests/{paymentRequestID}/uploads,5223,3493,19000.0,26023.11511326826,61.937400001625065,727075.4230999992,97.39919586444572,0.7592124161613268,0.5077405647427752,19000,30000,39000,42000,54000,69000,90000,106000,691000,727000,727000
POST,/support/v1/move-task-orders,11466,7075,17000.0,28716.517567652147,62.22619999971357,727258.3218999971,735.0830280830281,1.6666914730434184,1.0284181206856955,17000,32000,46000,53000,83000,95000,99000,104000,338000,712000,727000
GET,/support/v1/move-task-orders/{moveTaskOrderID},296,293,200.0,5838.6577513513175,178.72790000183159,114484.72239999683,25.405405405405407,0.043026397699359134,0.04259031934429806,200,230,300,350,18000,52000,81000,95000,114000,114000,114000
PATCH,/support/v1/move-task-orders/{moveTaskOrderID}/available-to-prime,4391,4299,35000.0,53180.34105374625,62.493500001437496,714725.6243999945,39.379640173081306,0.6382733523577228,0.6249002828025166,35000,44000,54000,61000,89000,108000,213000,707000,712000,715000,715000
PATCH,/support/v1/mto-service-items/{mtoServiceItemID}/status,8510,8375,31000.0,40200.72779575785,60.82650000098511,731031.5689000017,16.274735605170388,1.237008933856575,1.2173854078788269,31000,48000,57000,63000,80000,97000,137000,254000,718000,731000,731000
PATCH,/support/v1/mto-shipments/{mtoShipmentID}/status,8750,8452,24000.0,32146.121265039936,62.65039999925648,730942.8922999977,100.76617142857143,1.271895202261461,1.2285780856587276,24000,41000,50000,53000,69000,85000,99000,131000,717000,731000,731000
PATCH,/support/v1/payment-requests/{paymentRequestID}/status,8388,8357,33000.0,41969.28730374343,62.21419999928912,734868.7507000031,3.6927753934191703,1.2192750807507582,1.2147689377484603,33000,50000,59000,66000,90000,110000,148000,213000,728000,735000,735000
GET,/support/v1move-task-orders/{moveTaskOrderID},9292,9131,32000.0,42727.37592078157,61.323199999606004,731119.1885999979,151.6568015497202,1.350680025075828,1.327277153354217,32000,51000,62000,69000,95000,120000,156000,211000,717000,731000,731000
,Aggregated,102396,93027,27000.0,37108.70941042686,60.82650000098511,735578.8708,550.7926676823313,14.88422641494452,13.52235371208879,27000,43000,52000,60000,81000,96000,127000,180000,717000,731000,736000
